year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate
2024,1,1,,225.212,citations=351; influential=98; dataset/benchmark; modern ML method; BCI term matches=1; title BCI matches=1; open PDF metadata,cff0f8be64b0edfcaa2cae956851380ae04294be,Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI,"Wei-Bang Jiang, Li-Ming Zhao, Bao-Liang Lu",International Conference on Learning Representations,2024-05-29,351,98,Motor Imagery and Movement Decoding,"The current electroencephalogram (EEG) based deep learning models are typically designed for specific datasets and applications in brain-computer interaction (BCI), limiting the scale of the models and thus diminishing their perceptual capabilities and generalizability. Recently, Large Language Models (LLMs) have achieved unprecedented success in text processing, prompting us to explore the capabilities of Large EEG Models (LEMs). We hope that LEMs can break through the limitations of different task types of EEG datasets, and obtain universal perceptual capabilities of EEG signals through unsupervised pre-training. Then the models can be fine-tuned for different downstream tasks. However, compared to text data, the volume of EEG datasets is generally small and the format varies widely. For example, there can be mismatched numbers of electrodes, unequal length data samples, varied task designs, and low signal-to-noise ratio. To overcome these challenges, we propose a unified foundation model for EEG called Large Brain Model (LaBraM). LaBraM enables cross-dataset learning by segmenting the EEG signals into EEG channel patches. Vector-quantized neural spectrum prediction is used to train a semantically rich neural tokenizer that encodes continuous raw EEG channel patches into compact neural codes. We then pre-train neural Transformers by predicting the original neural codes for the masked EEG channel patches. The LaBraMs were pre-trained on about 2,500 hours of various types of EEG signals from around 20 datasets and validated on multiple different types of downstream tasks. Experiments on abnormal detection, event type classification, emotion recognition, and gait prediction show that our LaBraM outperforms all compared SOTA methods in their respective fields. Our code is available at https://github.com/935963004/LaBraM.",10.48550/arXiv.2405.18765,2405.18765,,https://doi.org/10.48550/arXiv.2405.18765,https://www.semanticscholar.org/paper/cff0f8be64b0edfcaa2cae956851380ae04294be,,Computer Science; Medicine,True
2024,2,2,,188.437,citations=174; influential=30; dataset/benchmark; modern ML method; BCI term matches=2; open PDF metadata,f1197215be4a6baa2c63aeff8e9f4ea9f85e3e56,EEGPT: Pretrained Transformer for Universal and Reliable Representation of EEG Signals,"Guangyu Wang, Wenchao Liu, Yuhong He, Cong Xu, Lin Ma, Haifeng Li",Neural Information Processing Systems,,174,30,Deep Learning and Representation Learning,"Electroencephalography (EEG) is crucial for recording brain activity, with applications in medicine, neuroscience, and brain-computer interfaces (BCI). However, challenges such as low signal-to-noise ratio (SNR), high inter-subject variability, and channel mismatch complicate the extraction of robust, universal EEG representations. We propose EEGPT, a novel 10-million-parameter pretrained transformer model designed for universal EEG feature extraction. In EEGPT, a mask-based dual self-supervised learning method for efficient feature extraction is designed. Compared to other mask-based self-supervised learning methods, EEGPT introduces spatio-temporal representation alignment. This involves constructing a self-supervised task based on EEG representations that possess high SNR and rich semantic information, rather than on raw signals. Consequently, this approach mitigates the issue of poor feature quality typically extracted from low SNR signals. Additionally, EEGPT’s hierarchical structure processes spatial and temporal information separately, reducing computational complexity while increasing flexibility and adaptability for BCI applications. By training on a large mixed multi-task EEG dataset, we fully exploit EEGPT’s capabilities. The experiment validates the efficacy and scalability of EEGPT, achieving state-of-the-art performance on a range of downstream tasks with linear-probing. Our research advances EEG representation learning",10.52202/079017-1239,,,https://doi.org/10.52202/079017-1239,https://www.semanticscholar.org/paper/f1197215be4a6baa2c63aeff8e9f4ea9f85e3e56,,Computer Science; Engineering; Medicine,True
2024,3,3,,184.482,citations=154; influential=17; dataset/benchmark; clinical/rehab relevance; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,5e6027ae5d911fa28b5b6adec701c27bebbb81cb,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,2024-08-30,154,17,Motor Imagery and Movement Decoding,"Brain-computer interface (BCI) technology bridges the direct communication between the brain and machines, unlocking new possibilities for human interaction and rehabilitation. EEG-based motor imagery (MI) plays a pivotal role in BCI, enabling the translation of thought into actionable commands for interactive and assistive technologies. However, the constrained decoding performance of brain signals poses a limitation to the broader application and development of BCI systems. In this study, we introduce a convolutional Transformer network (CTNet) designed for EEG-based MI classification. Firstly, CTNet employs a convolutional module analogous to EEGNet, dedicated to extracting local and spatial features from EEG time series. Subsequently, it incorporates a Transformer encoder module, leveraging a multi-head attention mechanism to discern the global dependencies of EEG's high-level features. Finally, a straightforward classifier module comprising fully connected layers is followed to categorize EEG signals. In subject-specific evaluations, CTNet achieved remarkable decoding accuracies of 82.52% and 88.49% on the BCI IV-2a and IV-2b datasets, respectively. Furthermore, in the challenging cross-subject assessments, CTNet achieved recognition accuracies of 58.64% on the BCI IV-2a dataset and 76.27% on the BCI IV-2b dataset. In both subject-specific and cross-subject evaluations, CTNet holds a leading position when compared to some of the state-of-the-art methods. This underscores the exceptional efficacy of our approach and its potential to set a new benchmark in EEG decoding.",10.1038/s41598-024-71118-7,,39215126,https://doi.org/10.1038/s41598-024-71118-7,https://www.semanticscholar.org/paper/5e6027ae5d911fa28b5b6adec701c27bebbb81cb,https://doi.org/10.1038/s41598-024-71118-7,Computer Science; Medicine,True
2024,4,4,,174.56,citations=129; influential=33; BCI term matches=2; open PDF metadata,80b09cbfc102d6bd7e7102b41f9644cc32f6dadf,Visual Decoding and Reconstruction via EEG Embeddings with Guided Diffusion,"Dongyang Li, Chen Wei, Shiying Li, Jiachen Zou, Quanying Liu",Neural Information Processing Systems,2024-03-12,129,33,EEG Signal Processing and Datasets,"How to decode human vision through neural signals has attracted a long-standing interest in neuroscience and machine learning. Modern contrastive learning and generative models improved the performance of visual decoding and reconstruction based on functional Magnetic Resonance Imaging (fMRI). However, the high cost and low temporal resolution of fMRI limit their applications in brain-computer interfaces (BCIs), prompting a high need for visual decoding based on electroencephalography (EEG). In this study, we present an end-to-end EEG-based visual reconstruction zero-shot framework, consisting of a tailored brain encoder, called the Adaptive Thinking Mapper (ATM), which projects neural signals from different sources into the shared subspace as the clip embedding, and a two-stage multi-pipe EEG-to-image generation strategy. In stage one, EEG is embedded to align the high-level clip embedding, and then the prior diffusion model refines EEG embedding into image priors. A blurry image also decoded from EEG for maintaining the low-level feature. In stage two, we input both the high-level clip embedding, the blurry image and caption from EEG latent to a pre-trained diffusion model. Furthermore, we analyzed the impacts of different time windows and brain regions on decoding and reconstruction. The versatility of our framework is demonstrated in the magnetoencephalogram (MEG) data modality. The experimental results indicate that our EEG-based visual zero-shot framework achieves SOTA performance in classification, retrieval and reconstruction, highlighting the portability, low cost, and high temporal resolution of EEG, enabling a wide range of BCI applications. Our code is available at https://github.com/ncclab-sustech/EEG_Image_decode.",10.52202/079017-3266,2403.07721,,https://doi.org/10.52202/079017-3266,https://www.semanticscholar.org/paper/80b09cbfc102d6bd7e7102b41f9644cc32f6dadf,,Biology; Computer Science; Engineering; Medicine,True
2024,5,5,,165.112,citations=129; influential=6; review/survey; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=2; title BCI matches=1; open PDF metadata,e2e2c423679be32bd6f1292bde49d32fade49fa1,Non-Invasive Brain-Computer Interfaces: State of the Art and Trends,"B. Edelman, Shuailei Zhang, Gerwin Schalk, P. Brunner, Gernot Müller-Putz, Cuntai Guan, et al.",IEEE Reviews in Biomedical Engineering,2024-08-26,129,6,Invasive and Implantable Interfaces,"Brain-computer interface (BCI) is a rapidly evolving technology that has the potential to widely influence research, clinical and recreational use. Non-invasive BCI approaches are particularly common as they can impact a large number of participants safely and at a relatively low cost. Where traditional non-invasive BCIs were used for simple computer cursor tasks, it is now increasingly common for these systems to control robotic devices for complex tasks that may be useful in daily life. In this review, we provide an overview of the general BCI framework as well as the various methods that can be used to record neural activity, extract signals of interest, and decode brain states. In this context, we summarize the current state-of-the-art of non-invasive BCI research, focusing on trends in both the application of BCIs for controlling external devices and algorithm development to optimize their use. We also discuss various open-source BCI toolboxes and software, and describe their impact on the field at large.",10.1109/RBME.2024.3449790,,39186407,https://doi.org/10.1109/RBME.2024.3449790,https://www.semanticscholar.org/paper/e2e2c423679be32bd6f1292bde49d32fade49fa1,https://doi.org/10.1109/rbme.2024.3449790,Computer Science; Engineering; Medicine,True
2024,6,6,,154.099,citations=77; influential=5; recognized venue; review/survey; clinical/rehab relevance; BCI term matches=2; open PDF metadata,3e9d4065524cf13efdb62ab703a6d3fbe539e699,A scoping review on the use of consumer-grade EEG devices for research,"Joshua Sabio, Nikolas S Williams, G. McArthur, N. Badcock",PLoS ONE,2024-03-06,77,5,EEG Signal Processing and Datasets,"Background Commercial electroencephalography (EEG) devices have become increasingly available over the last decade. These devices have been used in a wide variety of fields ranging from engineering to cognitive neuroscience. Purpose The aim of this study was to chart peer-review articles that used consumer-grade EEG devices to collect neural data. We provide an overview of the research conducted with these relatively more affordable and user-friendly devices. We also inform future research by exploring the current and potential scope of consumer-grade EEG. Methods We followed a five-stage methodological framework for a scoping review that included a systematic search using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews (PRISMA-ScR) guidelines. We searched the following online databases: PsycINFO, MEDLINE, Embase, Web of Science, and IEEE Xplore. We charted study data according to application (BCI, experimental research, validation, signal processing, and clinical) and location of use as indexed by the first author’s country. Results We identified 916 studies that used data recorded with consumer-grade EEG: 531 were reported in journal articles and 385 in conference papers. Emotiv devices were used most, followed by the NeuroSky MindWave, OpenBCI, interaXon Muse, and MyndPlay Mindband. The most common usage was for brain-computer interfaces, followed by experimental research, signal processing, validation, and clinical purposes. Conclusions Consumer-grade EEG is a useful tool for neuroscientific research and will likely continue to be used well into the future. Our study provides a comprehensive review of their application, as well as future directions for researchers who plan to use these devices.",10.1371/journal.pone.0291186,,38446762,https://doi.org/10.1371/journal.pone.0291186,https://www.semanticscholar.org/paper/3e9d4065524cf13efdb62ab703a6d3fbe539e699,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0291186&type=printable,Engineering; Medicine,True
2024,7,7,,149.96,citations=107; influential=3; review/survey; invasive/high-bandwidth BCI; modern ML method; BCI term matches=2; title BCI matches=1; open PDF metadata,b4012fa62bdcb700d4680785ad6ee6c53106b4ca,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, M. Hashmi",Artificial Intelligence Review,2024-02-13,107,3,Invasive and Implantable Interfaces,"Emotion is a subjective psychophysiological reaction coming from external stimuli which impacts every aspect of our daily lives. Due to the continuing development of non-invasive and portable sensor technologies, such as brain-computer interfaces (BCI), intellectuals from several fields have been interested in emotion recognition techniques. Human emotions can be recognised using a variety of behavioural cues, including gestures and body language, voice, and physiological markers. The first three, however, might be ineffective because people sometimes conceal their genuine emotions either intentionally or unknowingly. More precise and objective emotion recognition can be accomplished using physiological signals. Among other physiological signals, Electroencephalogram (EEG) is more responsive and sensitive to variation in affective states. Various EEG-based emotion recognition methods have recently been introduced. This study reviews EEG-based BCIs for emotion identification and gives an outline of the progress made in this field. A summary of the datasets and techniques utilised to evoke human emotions and various emotion models is also given. We discuss several EEG feature extractions, feature selection/reduction, machine learning, and deep learning algorithms in accordance with standard emotional identification process. We provide an overview of the human brain's EEG rhythms, which are closely related to emotional states. We also go over a number of EEG-based emotion identification research and compare numerous machine learning and deep learning techniques. In conclusion, this study highlights the applications, challenges and potential areas for future research in identification and classification of human emotional states.",10.1007/s10462-023-10690-2,,,https://doi.org/10.1007/s10462-023-10690-2,https://www.semanticscholar.org/paper/b4012fa62bdcb700d4680785ad6ee6c53106b4ca,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,Computer Science,True
2024,8,8,,148.796,citations=42; influential=8; review/survey; dataset/benchmark; modern ML method; BCI term matches=5; title BCI matches=1; open PDF metadata,a384d0dbc544bcf89b1160b9ad7b5eecb0fe995d,The largest EEG-based BCI reproducibility study for open science: the MOABB benchmark,"Sylvain Chevallier, Igor Carrara, Bruno Aristimunha, Pierre Guetschel, Sara Sedlar, Bruna J. Lopes, et al.",arXiv.org,2024-04-03,42,8,Motor Imagery and Movement Decoding,"Objective. This study conduct an extensive Brain-computer interfaces (BCI) reproducibility analysis on open electroencephalography datasets, aiming to assess existing solutions and establish open and reproducible benchmarks for effective comparison within the field. The need for such benchmark lies in the rapid industrial progress that has given rise to undisclosed proprietary solutions. Furthermore, the scientific literature is dense, often featuring challenging-to-reproduce evaluations, making comparisons between existing approaches arduous. Approach. Within an open framework, 30 machine learning pipelines (separated into raw signal: 11, Riemannian: 13, deep learning: 6) are meticulously re-implemented and evaluated across 36 publicly available datasets, including motor imagery (14), P300 (15), and SSVEP (7). The analysis incorporates statistical meta-analysis techniques for results assessment, encompassing execution time and environmental impact considerations. Main results. The study yields principled and robust results applicable to various BCI paradigms, emphasizing motor imagery, P300, and SSVEP. Notably, Riemannian approaches utilizing spatial covariance matrices exhibit superior performance, underscoring the necessity for significant data volumes to achieve competitive outcomes with deep learning techniques. The comprehensive results are openly accessible, paving the way for future research to further enhance reproducibility in the BCI domain. Significance. The significance of this study lies in its contribution to establishing a rigorous and transparent benchmark for BCI research, offering insights into optimal methodologies and highlighting the importance of reproducibility in driving advancements within the field.",10.48550/arXiv.2404.15319,2404.15319,,https://doi.org/10.48550/arXiv.2404.15319,https://www.semanticscholar.org/paper/a384d0dbc544bcf89b1160b9ad7b5eecb0fe995d,,Biology; Computer Science; Engineering; Medicine,True
2024,9,9,,144.506,citations=91; influential=6; modern ML method; BCI term matches=2; title BCI matches=1; open PDF metadata,19e910105941ebf0fd96f2baa7555617e687f683,EEG-Deformer: A Dense Convolutional Transformer for Brain-Computer Interfaces,"Yi Ding, Yong Li, Hao Sun, Rui Liu, Chengxuan Tong, Chenyu Liu, et al.",IEEE journal of biomedical and health informatics,2024-04-25,91,6,Deep Learning and Representation Learning,"Effectively learning the temporal dynamics in electroencephalogram (EEG) signals is challenging yet essential for decoding brain activities using brain-computer interfaces (BCIs). Although Transformers are popular for their long-term sequential learning ability in the BCI field, most methods combining Transformers with convolutional neural networks (CNNs) fail to capture the coarse-to-fine temporal dynamics of EEG signals. To overcome this limitation, we introduce EEG-Deformer, which incorporates two main novel components into a CNN-Transformer: (1) a Hierarchical Coarse-to-Fine Transformer (HCT) block that integrates a Fine-grained Temporal Learning (FTL) branch into Transformers, effectively discerning coarse-to-fine temporal patterns; and (2) a Dense Information Purification (DIP) module, which utilizes multi-level, purified temporal information to enhance decoding accuracy. Comprehensive experiments on three representative cognitive tasksâcognitive attention, driving fatigue, and mental workload detectionâconsistently confirm the generalizability of our proposed EEG-Deformer, demonstrating that it either outperforms or performs comparably to existing state-of-the-art methods. Visualization results show that EEG-Deformer learns from neurophysiologically meaningful brain regions for the corresponding cognitive tasks.",10.1109/JBHI.2024.3504604,2405.00719,40030277,https://doi.org/10.1109/JBHI.2024.3504604,https://www.semanticscholar.org/paper/19e910105941ebf0fd96f2baa7555617e687f683,https://doi.org/10.1109/jbhi.2024.3504604,Biology; Computer Science; Engineering; Medicine,True
2024,10,10,,143.924,citations=65; influential=5; dataset/benchmark; clinical/rehab relevance; BCI term matches=3; title BCI matches=2; open PDF metadata,64495c55f8c12dc456f19d91a26df8c932cac98f,An EEG motor imagery dataset for brain computer interface in acute stroke patients,"Haijie Liu, Penghu Wei, Haochong Wang, Xiaodong Lv, Wei Duan, Meijie Li, et al.",Scientific Data,2024-01-25,65,5,Motor Imagery and Movement Decoding,"The brain-computer interface (BCI) is a technology that involves direct communication with parts of the brain and has evolved rapidly in recent years; it has begun to be used in clinical practice, such as for patient rehabilitation. Patient electroencephalography (EEG) datasets are critical for algorithm optimization and clinical applications of BCIs but are rare at present. We collected data from 50 acute stroke patients with wireless portable saline EEG devices during the performance of two tasks: 1) imagining right-handed movements and 2) imagining left-handed movements. The dataset consists of four types of data: 1) the motor imagery instructions, 2) raw recording data, 3) pre-processed data after removing artefacts and other manipulations, and 4) patient characteristics. This is the first open dataset to address left- and right-handed motor imagery in acute stroke patients. We believe that the dataset will be very helpful for analysing brain activation and designing decoding methods that are more applicable for acute stroke patients, which will greatly facilitate research in the field of motor imagery-BCI.",10.1038/s41597-023-02787-8,,38272904,https://doi.org/10.1038/s41597-023-02787-8,https://www.semanticscholar.org/paper/64495c55f8c12dc456f19d91a26df8c932cac98f,https://www.nature.com/articles/s41597-023-02787-8.pdf,Engineering; Medicine,True
