year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate,githubUrl,keywordTags,keyIdea,strengths,limitations,methodTags,paperLink
2008,1,,1,260.477,citations=1456; influential=203; BCI term matches=1; title BCI matches=1; open PDF metadata,ab6a90f44f0fe280f6207981bb62beb88602281e,Filter Bank Common Spatial Pattern (FBCSP) in Brain-Computer Interface,"K. Ang, Z. Y. Chin, Haihong Zhang, Cuntai Guan",IEEE World Congress on Computational Intelligence,2008-06-01,1456,203,General BCI Methods and Systems,,10.1109/IJCNN.2008.4634130,,,https://doi.org/10.1109/ijcnn.2008.4634130,https://www.semanticscholar.org/paper/ab6a90f44f0fe280f6207981bb62beb88602281e,,Computer Science; Engineering,False,,non-invasive,Positions Filter Bank Common Spatial Pattern (FBCSP) in Brain-Computer Interface within General BCI Methods and Systems.,"high citation signal (1,456); influential citation signal (203)","Broad BCI system claims often need stronger standardized evaluation across users, sessions, and devices.; Laboratory performance may not transfer to everyday usability, safety, and maintenance conditions.; Non-invasive signals are vulnerable to low signal-to-noise ratio, artifacts, and electrode setup variability.",BCI method,https://doi.org/10.1109/ijcnn.2008.4634130
2008,2,,2,227.924,citations=1144; influential=33; clinical/rehab relevance; BCI term matches=1; title BCI matches=1; open PDF metadata,32f297c1f61a6ac305d841c98b4a07b9db90a27d,Brain-computer interfaces in neurological rehabilitation.,"J. Daly, J. Wolpaw",Lancet Neurology,2008-11-01,1144,33,Rehabilitation and Neuroprosthetics,,10.1016/S1474-4422(08)70223-0,,18835541,https://doi.org/10.1016/s1474-4422(08)70223-0,https://www.semanticscholar.org/paper/32f297c1f61a6ac305d841c98b4a07b9db90a27d,,Computer Science; Engineering; Medicine; Psychology,False,,human,Positions Brain-computer interfaces in neurological rehabilitation. within Rehabilitation and Neuroprosthetics.,"high citation signal (1,144); influential citation signal (33)","Clinical impact needs stronger longitudinal evidence on daily function, adherence, and adverse events.; Clinical cohorts are often small and heterogeneous, making functional effect sizes difficult to compare.; Short follow-up windows can miss whether gains transfer to daily activities.",clinical/rehab,https://doi.org/10.1016/s1474-4422(08)70223-0
2008,3,,3,255.345,citations=944; influential=122; recognized venue; BCI term matches=2; title BCI matches=2; open PDF metadata,0b4668462903d782699bfb5d0b124cbc0f222d84,An efficient P300-based brain-computer interface for disabled subjects.,"Ulrich Hoffmann, J. Vesin, T. Ebrahimi, K. Diserens",Journal of Neuroscience Methods,2008-01-15,944,122,"SSVEP, P300, and ERP Spellers",,10.1016/J.JNEUMETH.2007.03.005,,17445904,https://doi.org/10.1016/j.jneumeth.2007.03.005,https://www.semanticscholar.org/paper/0b4668462903d782699bfb5d0b124cbc0f222d84,,Computer Science; Engineering; Medicine,False,,non-invasive; human; SSVEP; P300,"Positions An efficient P300-based brain-computer interface for disabled subjects. within SSVEP, P300, and ERP Spellers.",high citation signal (944); influential citation signal (122); recognized venue,"Visual spellers can be constrained by gaze dependence, stimulus comfort, and fatigue during long sessions.; Controlled target layouts and calibration conditions may not transfer to everyday communication.; Non-invasive signals are vulnerable to low signal-to-noise ratio, artifacts, and electrode setup variability.",BCI method,https://doi.org/10.1016/j.jneumeth.2007.03.005
2008,4,,4,230.885,citations=811; influential=60; dataset/benchmark; BCI term matches=1; title BCI matches=1; open PDF metadata,9031aac7e9b6adae909ce22fa35fa74ec52a52ec,BCI Competition 2008 { Graz data set B,"R. Leeb, C. Brunner",,,811,60,General BCI Methods and Systems,,,,,https://www.semanticscholar.org/paper/9031aac7e9b6adae909ce22fa35fa74ec52a52ec,https://www.semanticscholar.org/paper/9031aac7e9b6adae909ce22fa35fa74ec52a52ec,,Computer Science,False,,non-invasive,Positions BCI Competition 2008 { Graz data set B within General BCI Methods and Systems.,high citation signal (811); influential citation signal (60),"Benchmark value depends on standardized protocols, transparent splits, and external replication.; Broad BCI system claims often need stronger standardized evaluation across users, sessions, and devices.; Laboratory performance may not transfer to everyday usability, safety, and maintenance conditions.",dataset/benchmark,https://www.semanticscholar.org/paper/9031aac7e9b6adae909ce22fa35fa74ec52a52ec
2008,5,,5,214.36,citations=703; influential=28; invasive/high-bandwidth BCI; BCI term matches=1; title BCI matches=1; open PDF metadata,4f751de81cd438a56f18a9b153acaddd464f1100,A brain-actuated wheelchair: asynchronous and non-invasive Brain-computer interfaces for continuous control of robots.,"F. Galán, F. Galán, M. Nuttin, Eileen Lew, P. Ferrez, G. Vanacker, et al.",Clinical Neurophysiology,2008-09-01,703,28,Invasive and Implantable Interfaces,,10.1016/j.clinph.2008.06.001,,18621580,https://doi.org/10.1016/j.clinph.2008.06.001,https://www.semanticscholar.org/paper/4f751de81cd438a56f18a9b153acaddd464f1100,,Computer Science; Engineering; Medicine,False,,invasive; non-invasive,Positions A brain-actuated wheelchair: asynchronous and non-invasive Brain-computer interfaces for continuous control of robots. within Invasive and Implantable Interfaces.,high citation signal (703); influential citation signal (28),"Surgical risk, device durability, and long-term signal stability constrain clinical translation.; Small participant cohorts make headline decoding performance difficult to generalize.; Non-invasive signals are vulnerable to low signal-to-noise ratio, artifacts, and electrode setup variability.",invasive,https://doi.org/10.1016/j.clinph.2008.06.001
2008,6,,6,204.985,citations=666; influential=19; BCI term matches=2; title BCI matches=2; open PDF metadata,f7014b2240699af3005da2915eba8acfb62aade8,A P300-based brain-computer interface for people with amyotrophic lateral sclerosis.,"F. Nijboer, E. Sellers, J. Mellinger, M. Jordan, Tamara Matuz, A. Furdea, et al.",Clinical Neurophysiology,2008-08-01,666,19,"SSVEP, P300, and ERP Spellers",,10.1016/j.clinph.2008.03.034,,18571984,https://doi.org/10.1016/j.clinph.2008.03.034,https://www.semanticscholar.org/paper/f7014b2240699af3005da2915eba8acfb62aade8,,Medicine; Psychology,False,,non-invasive; SSVEP; P300,"Positions A P300-based brain-computer interface for people with amyotrophic lateral sclerosis. within SSVEP, P300, and ERP Spellers.",high citation signal (666); influential citation signal (19),"Visual spellers can be constrained by gaze dependence, stimulus comfort, and fatigue during long sessions.; Controlled target layouts and calibration conditions may not transfer to everyday communication.; Non-invasive signals are vulnerable to low signal-to-noise ratio, artifacts, and electrode setup variability.",BCI method,https://doi.org/10.1016/j.clinph.2008.03.034
2008,7,,7,218.45,citations=619; influential=34; clinical/rehab relevance; BCI term matches=2; title BCI matches=2; open PDF metadata,0eee8c8c8aef66dc5b05d22c2aae68b013e6f874,Think to Move: a Neuromagnetic Brain-Computer Interface (BCI) System for Chronic Stroke,"Ethan R. Buch, Cornelia Weber, L. Cohen, C. Braun, M. Dimyan, T. Ard, et al.",Stroke,2008-03-01,619,34,Rehabilitation and Neuroprosthetics,,10.1161/STROKEAHA.107.505313,,18258825,https://doi.org/10.1161/strokeaha.107.505313,https://www.semanticscholar.org/paper/0eee8c8c8aef66dc5b05d22c2aae68b013e6f874,,Engineering; Medicine,False,,human,Positions Think to Move: a Neuromagnetic Brain-Computer Interface (BCI) System for Chronic Stroke within Rehabilitation and Neuroprosthetics.,high citation signal (619); influential citation signal (34),"Clinical impact needs stronger longitudinal evidence on daily function, adherence, and adverse events.; Clinical cohorts are often small and heterogeneous, making functional effect sizes difficult to compare.; Short follow-up windows can miss whether gains transfer to daily activities.",clinical/rehab,https://doi.org/10.1161/strokeaha.107.505313
2008,8,,8,209.039,citations=610; influential=15; recognized venue; BCI term matches=2; title BCI matches=2; open PDF metadata,b2451d7a84477eee22825c565ba42c0597828575,Control of an Electrical Prosthesis With an SSVEP-Based BCI,"G. Müller-Putz, G. Pfurtscheller",IEEE Transactions on Biomedical Engineering,,610,15,"SSVEP, P300, and ERP Spellers",,10.1109/TBME.2007.897815,,18232384,https://doi.org/10.1109/tbme.2007.897815,https://www.semanticscholar.org/paper/b2451d7a84477eee22825c565ba42c0597828575,,Computer Science; Engineering; Medicine,False,,non-invasive; SSVEP; P300,"Positions Control of an Electrical Prosthesis With an SSVEP-Based BCI within SSVEP, P300, and ERP Spellers.",high citation signal (610); influential citation signal (15); recognized venue,"Visual spellers can be constrained by gaze dependence, stimulus comfort, and fatigue during long sessions.; Controlled target layouts and calibration conditions may not transfer to everyday communication.; Non-invasive signals are vulnerable to low signal-to-noise ratio, artifacts, and electrode setup variability.",BCI method,https://doi.org/10.1109/tbme.2007.897815
2008,9,,9,241.637,citations=535; influential=86; recognized venue; dataset/benchmark; BCI term matches=2; title BCI matches=2; open PDF metadata,cd7d1f2568b9064800547f664d02c6e20f80d483,BCI Competition III: Dataset II- Ensemble of SVMs for BCI P300 Speller,"A. Rakotomamonjy, Vincent Guigue",IEEE Transactions on Biomedical Engineering,2008-02-15,535,86,"SSVEP, P300, and ERP Spellers",,10.1109/TBME.2008.915728,,18334407,https://doi.org/10.1109/tbme.2008.915728,https://www.semanticscholar.org/paper/cd7d1f2568b9064800547f664d02c6e20f80d483,,Computer Science; Medicine,False,,non-invasive; SSVEP; P300,"Positions BCI Competition III: Dataset II- Ensemble of SVMs for BCI P300 Speller within SSVEP, P300, and ERP Spellers.",high citation signal (535); influential citation signal (86); recognized venue,"Benchmark value depends on standardized protocols, transparent splits, and external replication.; Communication systems must still balance accuracy, latency, vocabulary size, privacy, and user autonomy.; Visual spellers can be constrained by gaze dependence, stimulus comfort, and fatigue during long sessions.",dataset/benchmark; communication,https://doi.org/10.1109/tbme.2008.915728
2008,10,,10,220.243,citations=467; influential=37; review/survey; clinical/rehab relevance; BCI term matches=3; title BCI matches=1; open PDF metadata,4af4440c2d8dbd31a3d4a06aabbcb0042b7caf4e,Brain-Computer Interfaces and communication in paralysis: extinction of goal directed thinking in completely paralysed patients?,"A. Kübler, Niels Birbaumer, Niels Birbaumer",Clinical Neurophysiology,2008-09-27,467,37,Motor Imagery and Movement Decoding,"Objective To investigate the relationship between physical impairment and brain-computer interface (BCI) performance. Method We present a meta-analysis of 29 patients with amyotrophic lateral sclerosis and 6 with other severe neurological diseases in different stages of physical impairment who were trained with a BCI. In most cases voluntary regulation of slow cortical potentials has been used as input signal for BCI control. More recently sensorimotor rhythms and the P300 event-related brain potential were recorded. Results A strong correlation has been found between physical impairment and BCI performance, indicating that performance worsens as impairment increases. Seven patients were in the complete locked-in state (CLIS) with no communication possible. After removal of these patients from the analysis, the relationship between physical impairment and BCI performance disappeared. The lack of a relation between physical impairment and BCI performance was confirmed when adding BCI data of patients from other BCI research groups. Conclusions Basic communication (yes/no) was not restored in any of the CLIS patients with a BCI. Whether locked-in patients can transfer learned brain control to the CLIS remains an open empirical question. Significance Voluntary brain regulation for communication is possible in all stages of paralysis except the CLIS.",10.1016/j.clinph.2008.06.019,,18824406,https://doi.org/10.1016/j.clinph.2008.06.019,https://www.semanticscholar.org/paper/4af4440c2d8dbd31a3d4a06aabbcb0042b7caf4e,,Medicine; Psychology,False,,non-invasive; human; SMR; P300,Objective To investigate the relationship between physical impairment and brain-computer interface (BCI) performance.,high citation signal (467); influential citation signal (37),"Review-level synthesis cannot resolve study quality differences, protocol bias, or reproducibility gaps.; Clinical impact needs stronger longitudinal evidence on daily function, adherence, and adverse events.; Communication systems must still balance accuracy, latency, vocabulary size, privacy, and user autonomy.",review; clinical/rehab; communication,https://doi.org/10.1016/j.clinph.2008.06.019
