year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate,githubUrl
2013,1,,1,223.607,citations=569; influential=35; recognized venue; invasive/high-bandwidth BCI; BCI term matches=1; title BCI matches=1; open PDF metadata,52d0af9f0f49e1762c319024bdda537964b594f3,Failure mode analysis of silicon-based intracortical microelectrode arrays in non-human primates,"James C. Barrese, Naveen G. Rao, Kaivon Paroo, C. Triebwasser, C. Vargas-Irwin, Lachlan Franquemont, et al.",Journal of Neural Engineering,2013-11-12,569,35,Invasive and Implantable Interfaces,,10.1088/1741-2560/10/6/066014,,24216311,https://doi.org/10.1088/1741-2560/10/6/066014,https://www.semanticscholar.org/paper/52d0af9f0f49e1762c319024bdda537964b594f3,,Engineering; Medicine; Physics,False,
2013,2,,2,211.91,citations=564; influential=18; recognized venue; BCI term matches=3; title BCI matches=2; open PDF metadata,0584b4035c7fb4d89793e3dd57d60c24c89adb55,Quadcopter control in three-dimensional space using a noninvasive motor imagery based brain-computer interface,"K. Lafleur, K. Cassady, A. Doud, K. Shades, E. Rogin, Bin He",Journal of Neural Engineering,2013-06-04,564,18,Motor Imagery and Movement Decoding,"Objective. At the balanced intersection of human and machine adaptation is found the optimally functioning brain–computer interface (BCI). In this study, we report a novel experiment of BCI controlling a robotic quadcopter in three-dimensional (3D) physical space using noninvasive scalp electroencephalogram (EEG) in human subjects. We then quantify the performance of this system using metrics suitable for asynchronous BCI. Lastly, we examine the impact that the operation of a real world device has on subjects' control in comparison to a 2D virtual cursor task. Approach. Five human subjects were trained to modulate their sensorimotor rhythms to control an AR Drone navigating a 3D physical space. Visual feedback was provided via a forward facing camera on the hull of the drone. Main results. Individual subjects were able to accurately acquire up to 90.5% of all valid targets presented while travelling at an average straight-line speed of 0.69 m s−1. Significance. Freely exploring and interacting with the world around us is a crucial element of autonomy that is lost in the context of neurodegenerative disease. Brain–computer interfaces are systems that aim to restore or enhance a user's ability to interact with the environment via a computer and through the use of only thought. We demonstrate for the first time the ability to control a flying robot in 3D physical space using noninvasive scalp recorded EEG in humans. Our work indicates the potential of noninvasive EEG-based BCI systems for accomplish complex control in 3D physical space. The present study may serve as a framework for the investigation of multidimensional noninvasive BCI control in a physical environment using telepresence robotics.",10.1088/1741-2560/10/4/046003,,23735712,https://doi.org/10.1088/1741-2560/10/4/046003,https://www.semanticscholar.org/paper/0584b4035c7fb4d89793e3dd57d60c24c89adb55,https://iopscience.iop.org/article/10.1088/1741-2560/10/4/046003/pdf,Computer Science; Engineering; Medicine; Physics; Psychology,False,
2013,3,,3,208.576,citations=482; influential=43; BCI term matches=1; title BCI matches=1; open PDF metadata,9b143b26d2fe58db6aa11e86b8850f03d78d648c,Classification of covariance matrices using a Riemannian-based kernel for BCI applications,"A. Barachant, S. Bonnet, M. Congedo, C. Jutten",Neurocomputing,2013-07-01,482,43,EEG Signal Processing and Datasets,,10.1016/J.NEUCOM.2012.12.039,,,https://doi.org/10.1016/j.neucom.2012.12.039,https://www.semanticscholar.org/paper/9b143b26d2fe58db6aa11e86b8850f03d78d648c,,Computer Science; Engineering; Mathematics,False,
2013,4,,4,208.006,citations=400; influential=21; recognized venue; invasive/high-bandwidth BCI; BCI term matches=3; open PDF metadata,e5a97816d50d757dbcbeca5781cf3ba23e290623,An Electrocorticographic Brain Interface in an Individual with Tetraplegia,"Wei Wang, J. Collinger, A. D. Degenhart, E. Tyler-Kabara, A. Schwartz, D. Moran, et al.",PLoS ONE,2013-02-06,400,21,Motor Imagery and Movement Decoding,"Brain-computer interface (BCI) technology aims to help individuals with disability to control assistive devices and reanimate paralyzed limbs. Our study investigated the feasibility of an electrocorticography (ECoG)-based BCI system in an individual with tetraplegia caused by C4 level spinal cord injury. ECoG signals were recorded with a high-density 32-electrode grid over the hand and arm area of the left sensorimotor cortex. The participant was able to voluntarily activate his sensorimotor cortex using attempted movements, with distinct cortical activity patterns for different segments of the upper limb. Using only brain activity, the participant achieved robust control of 3D cursor movement. The ECoG grid was explanted 28 days post-implantation with no adverse effect. This study demonstrates that ECoG signals recorded from the sensorimotor cortex can be used for real-time device control in paralyzed individuals.",10.1371/journal.pone.0055344,,23405137,https://doi.org/10.1371/journal.pone.0055344,https://www.semanticscholar.org/paper/e5a97816d50d757dbcbeca5781cf3ba23e290623,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0055344&type=printable,Biology; Engineering; Medicine,False,
2013,5,,5,207.216,citations=383; influential=20; recognized venue; BCI term matches=3; title BCI matches=3; open PDF metadata,9610dbc4d22904d159fba3479ffd20f2317f0ee1,A Hybrid BCI System Combining P300 and SSVEP and Its Application to Wheelchair Control,"Yuanqing Li, Jiahui Pan, Fei Wang, Z. Yu",IEEE Transactions on Biomedical Engineering,2013-06-20,383,20,"SSVEP, P300, and ERP Spellers",,10.1109/TBME.2013.2270283,,23799679,https://doi.org/10.1109/tbme.2013.2270283,https://www.semanticscholar.org/paper/9610dbc4d22904d159fba3479ffd20f2317f0ee1,,Computer Science; Engineering; Medicine,False,
2013,6,,6,202.114,citations=362; influential=32; BCI term matches=3; title BCI matches=2; open PDF metadata,92f7c1eae203ce0e655ea2121a4486b51324c58d,Frequency Recognition in SSVEP-Based BCI using Multiset Canonical Correlation Analysis,"Yu Zhang, Guoxu Zhou, Jing Jin, Xingyu Wang, A. Cichocki",International Journal of Neural Systems,2013-08-26,362,32,"SSVEP, P300, and ERP Spellers","Canonical correlation analysis (CCA) has been one of the most popular methods for frequency recognition in steady-state visual evoked potential (SSVEP)-based brain-computer interfaces (BCIs). Despite its efficiency, a potential problem is that using pre-constructed sine-cosine waves as the required reference signals in the CCA method often does not result in the optimal recognition accuracy due to their lack of features from the real electro-encephalo-gram (EEG) data. To address this problem, this study proposes a novel method based on multiset canonical correlation analysis (MsetCCA) to optimize the reference signals used in the CCA method for SSVEP frequency recognition. The MsetCCA method learns multiple linear transforms that implement joint spatial filtering to maximize the overall correlation among canonical variates, and hence extracts SSVEP common features from multiple sets of EEG data recorded at the same stimulus frequency. The optimized reference signals are formed by combination of the common features and completely based on training data. Experimental study with EEG data from 10 healthy subjects demonstrates that the MsetCCA method improves the recognition accuracy of SSVEP frequency in comparison with the CCA method and other two competing methods (multiway CCA (MwayCCA) and phase constrained CCA (PCCA)), especially for a small number of channels and a short time window length. The superiority indicates that the proposed MsetCCA method is a new promising candidate for frequency recognition in SSVEP-based BCIs.",10.1142/S0129065714500130,1308.5609,24694168,https://doi.org/10.1142/s0129065714500130,https://www.semanticscholar.org/paper/92f7c1eae203ce0e655ea2121a4486b51324c58d,https://arxiv.org/pdf/1308.5609,Computer Science; Engineering; Mathematics; Medicine,False,
2013,7,,7,193.165,citations=346; influential=27; BCI term matches=1; title BCI matches=1; open PDF metadata,553e34ae048b5b639c9acdbb66672787134f1ddb,Brain Computer Interface,"Anirudh Vallabhaneni, Tao Wang, Bin He",,,346,27,General BCI Methods and Systems,,10.1007/0-306-48610-5_3,,,https://doi.org/10.1007/0-306-48610-5_3,https://www.semanticscholar.org/paper/553e34ae048b5b639c9acdbb66672787134f1ddb,http://essuir.sumdu.edu.ua/bitstream/123456789/22533/1/6.pdf,Computer Science; Engineering; Medicine,False,
2013,8,,8,196.702,citations=309; influential=16; review/survey; clinical/rehab relevance; BCI term matches=3; title BCI matches=1; open PDF metadata,12538375e98579249c9e39704ef12fcb7a659237,Performance of the Emotiv Epoc headset for P300-based applications,"M. Duvinage, T. Castermans, M. Petieau, T. Hoellinger, G. Cheron, T. Dutoit",BioMedical Engineering OnLine,2013-06-25,309,16,"SSVEP, P300, and ERP Spellers","BackgroundFor two decades, EEG-based Brain-Computer Interface (BCI) systems have been widely studied in research labs. Now, researchers want to consider out-of-the-lab applications and make this technology available to everybody. However, medical-grade EEG recording devices are still much too expensive for end-users, especially disabled people. Therefore, several low-cost alternatives have appeared on the market. The Emotiv Epoc headset is one of them. Although some previous work showed this device could suit the customer’s needs in terms of performance, no quantitative classification-based assessments compared to a medical system are available.MethodsThis paper aims at statistically comparing a medical-grade system, the ANT device, and the Emotiv Epoc headset by determining their respective performances in a P300 BCI using the same electrodes. On top of that, a review of previous Emotiv studies and a discussion on practical considerations regarding both systems are proposed. Nine healthy subjects participated in this experiment during which the ANT and the Emotiv systems are used in two different conditions: sitting on a chair and walking on a treadmill at constant speed.ResultsThe Emotiv headset performs significantly worse than the medical device; observed effect sizes vary from medium to large. The Emotiv headset has higher relative operational and maintenance costs than its medical-grade competitor.ConclusionsAlthough this low-cost headset is able to record EEG data in a satisfying manner, it should only be chosen for non critical applications such as games, communication systems, etc. For rehabilitation or prosthesis control, this lack of reliability may lead to serious consequences. For research purposes, the medical system should be chosen except if a lot of trials are available or when the Signal-to-Noise Ratio is high. This also suggests that the design of a specific low-cost EEG recording system for critical applications and research is still required.",10.1186/1475-925X-12-56,,23800158,https://doi.org/10.1186/1475-925x-12-56,https://www.semanticscholar.org/paper/12538375e98579249c9e39704ef12fcb7a659237,https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/1475-925X-12-56,Engineering; Medicine,False,
2013,9,,9,199.642,citations=302; influential=24; recognized venue; BCI term matches=2; title BCI matches=1; open PDF metadata,bc38e7db70db091b0c3b3dc6410d48d40686bf86,Flaws in current human training protocols for spontaneous Brain-Computer Interfaces: lessons learned from instructional design,"F. Lotte, F. Larrue, C. Mühl",Frontiers in Human Neuroscience,2013-09-17,302,24,Invasive and Implantable Interfaces,"While recent research on Brain-Computer Interfaces (BCI) has highlighted their potential for many applications, they remain barely used outside laboratories. The main reason is their lack of robustness. Indeed, with current BCI, mental state recognition is usually slow and often incorrect. Spontaneous BCI (i.e., mental imagery-based BCI) often rely on mutual learning efforts by the user and the machine, with BCI users learning to produce stable ElectroEncephaloGraphy (EEG) patterns (spontaneous BCI control being widely acknowledged as a skill) while the computer learns to automatically recognize these EEG patterns, using signal processing. Most research so far was focused on signal processing, mostly neglecting the human in the loop. However, how well the user masters the BCI skill is also a key element explaining BCI robustness. Indeed, if the user is not able to produce stable and distinct EEG patterns, then no signal processing algorithm would be able to recognize them. Unfortunately, despite the importance of BCI training protocols, they have been scarcely studied so far, and used mostly unchanged for years. In this paper, we advocate that current human training approaches for spontaneous BCI are most likely inappropriate. We notably study instructional design literature in order to identify the key requirements and guidelines for a successful training procedure that promotes a good and efficient skill learning. This literature study highlights that current spontaneous BCI user training procedures satisfy very few of these requirements and hence are likely to be suboptimal. We therefore identify the flaws in BCI training protocols according to instructional design principles, at several levels: in the instructions provided to the user, in the tasks he/she has to perform, and in the feedback provided. For each level, we propose new research directions that are theoretically expected to address some of these flaws and to help users learn the BCI skill more efficiently.",10.3389/fnhum.2013.00568,,24062669,https://doi.org/10.3389/fnhum.2013.00568,https://www.semanticscholar.org/paper/bc38e7db70db091b0c3b3dc6410d48d40686bf86,https://www.frontiersin.org/articles/10.3389/fnhum.2013.00568/pdf,Computer Science; Education; Medicine,False,
2013,10,,10,196.53,citations=276; influential=20; recognized venue; BCI term matches=2; title BCI matches=2; open PDF metadata,fd5dfbf874ebd8f880da2ec9812142d2d5c31533,Classification of functional near-infrared spectroscopy signals corresponding to the right- and left-wrist motor imagery for development of a brain-computer interface.,"Noman Naseer, K. Hong",Neuroscience Letters,2013-10-11,276,20,Motor Imagery and Movement Decoding,,10.1016/j.neulet.2013.08.021,,23973334,https://doi.org/10.1016/j.neulet.2013.08.021,https://www.semanticscholar.org/paper/fd5dfbf874ebd8f880da2ec9812142d2d5c31533,,Computer Science; Medicine,False,
