year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate
2024,1,,1,225.212,citations=351; influential=98; dataset/benchmark; modern ML method; BCI term matches=1; title BCI matches=1; open PDF metadata,cff0f8be64b0edfcaa2cae956851380ae04294be,Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI,"Wei-Bang Jiang, Li-Ming Zhao, Bao-Liang Lu",International Conference on Learning Representations,2024-05-29,351,98,Motor Imagery and Movement Decoding,"The current electroencephalogram (EEG) based deep learning models are typically designed for specific datasets and applications in brain-computer interaction (BCI), limiting the scale of the models and thus diminishing their perceptual capabilities and generalizability. Recently, Large Language Models (LLMs) have achieved unprecedented success in text processing, prompting us to explore the capabilities of Large EEG Models (LEMs). We hope that LEMs can break through the limitations of different task types of EEG datasets, and obtain universal perceptual capabilities of EEG signals through unsupervised pre-training. Then the models can be fine-tuned for different downstream tasks. However, compared to text data, the volume of EEG datasets is generally small and the format varies widely. For example, there can be mismatched numbers of electrodes, unequal length data samples, varied task designs, and low signal-to-noise ratio. To overcome these challenges, we propose a unified foundation model for EEG called Large Brain Model (LaBraM). LaBraM enables cross-dataset learning by segmenting the EEG signals into EEG channel patches. Vector-quantized neural spectrum prediction is used to train a semantically rich neural tokenizer that encodes continuous raw EEG channel patches into compact neural codes. We then pre-train neural Transformers by predicting the original neural codes for the masked EEG channel patches. The LaBraMs were pre-trained on about 2,500 hours of various types of EEG signals from around 20 datasets and validated on multiple different types of downstream tasks. Experiments on abnormal detection, event type classification, emotion recognition, and gait prediction show that our LaBraM outperforms all compared SOTA methods in their respective fields. Our code is available at https://github.com/935963004/LaBraM.",10.48550/arXiv.2405.18765,2405.18765,,https://doi.org/10.48550/arXiv.2405.18765,https://www.semanticscholar.org/paper/cff0f8be64b0edfcaa2cae956851380ae04294be,,Computer Science; Medicine,False
2024,2,,2,184.482,citations=154; influential=17; dataset/benchmark; clinical/rehab relevance; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,5e6027ae5d911fa28b5b6adec701c27bebbb81cb,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,2024-08-30,154,17,Motor Imagery and Movement Decoding,"Brain-computer interface (BCI) technology bridges the direct communication between the brain and machines, unlocking new possibilities for human interaction and rehabilitation. EEG-based motor imagery (MI) plays a pivotal role in BCI, enabling the translation of thought into actionable commands for interactive and assistive technologies. However, the constrained decoding performance of brain signals poses a limitation to the broader application and development of BCI systems. In this study, we introduce a convolutional Transformer network (CTNet) designed for EEG-based MI classification. Firstly, CTNet employs a convolutional module analogous to EEGNet, dedicated to extracting local and spatial features from EEG time series. Subsequently, it incorporates a Transformer encoder module, leveraging a multi-head attention mechanism to discern the global dependencies of EEG's high-level features. Finally, a straightforward classifier module comprising fully connected layers is followed to categorize EEG signals. In subject-specific evaluations, CTNet achieved remarkable decoding accuracies of 82.52% and 88.49% on the BCI IV-2a and IV-2b datasets, respectively. Furthermore, in the challenging cross-subject assessments, CTNet achieved recognition accuracies of 58.64% on the BCI IV-2a dataset and 76.27% on the BCI IV-2b dataset. In both subject-specific and cross-subject evaluations, CTNet holds a leading position when compared to some of the state-of-the-art methods. This underscores the exceptional efficacy of our approach and its potential to set a new benchmark in EEG decoding.",10.1038/s41598-024-71118-7,,39215126,https://doi.org/10.1038/s41598-024-71118-7,https://www.semanticscholar.org/paper/5e6027ae5d911fa28b5b6adec701c27bebbb81cb,https://doi.org/10.1038/s41598-024-71118-7,Computer Science; Medicine,False
2024,3,,3,165.112,citations=129; influential=6; review/survey; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=2; title BCI matches=1; open PDF metadata,e2e2c423679be32bd6f1292bde49d32fade49fa1,Non-Invasive Brain-Computer Interfaces: State of the Art and Trends,"B. Edelman, Shuailei Zhang, Gerwin Schalk, P. Brunner, Gernot Müller-Putz, Cuntai Guan, et al.",IEEE Reviews in Biomedical Engineering,2024-08-26,129,6,Invasive and Implantable Interfaces,"Brain-computer interface (BCI) is a rapidly evolving technology that has the potential to widely influence research, clinical and recreational use. Non-invasive BCI approaches are particularly common as they can impact a large number of participants safely and at a relatively low cost. Where traditional non-invasive BCIs were used for simple computer cursor tasks, it is now increasingly common for these systems to control robotic devices for complex tasks that may be useful in daily life. In this review, we provide an overview of the general BCI framework as well as the various methods that can be used to record neural activity, extract signals of interest, and decode brain states. In this context, we summarize the current state-of-the-art of non-invasive BCI research, focusing on trends in both the application of BCIs for controlling external devices and algorithm development to optimize their use. We also discuss various open-source BCI toolboxes and software, and describe their impact on the field at large.",10.1109/RBME.2024.3449790,,39186407,https://doi.org/10.1109/RBME.2024.3449790,https://www.semanticscholar.org/paper/e2e2c423679be32bd6f1292bde49d32fade49fa1,https://doi.org/10.1109/rbme.2024.3449790,Computer Science; Engineering; Medicine,False
2024,4,,4,149.96,citations=107; influential=3; review/survey; invasive/high-bandwidth BCI; modern ML method; BCI term matches=2; title BCI matches=1; open PDF metadata,b4012fa62bdcb700d4680785ad6ee6c53106b4ca,Role of machine learning and deep learning techniques in EEG-based BCI emotion recognition system: a review,"Priyadarsini Samal, M. Hashmi",Artificial Intelligence Review,2024-02-13,107,3,Invasive and Implantable Interfaces,"Emotion is a subjective psychophysiological reaction coming from external stimuli which impacts every aspect of our daily lives. Due to the continuing development of non-invasive and portable sensor technologies, such as brain-computer interfaces (BCI), intellectuals from several fields have been interested in emotion recognition techniques. Human emotions can be recognised using a variety of behavioural cues, including gestures and body language, voice, and physiological markers. The first three, however, might be ineffective because people sometimes conceal their genuine emotions either intentionally or unknowingly. More precise and objective emotion recognition can be accomplished using physiological signals. Among other physiological signals, Electroencephalogram (EEG) is more responsive and sensitive to variation in affective states. Various EEG-based emotion recognition methods have recently been introduced. This study reviews EEG-based BCIs for emotion identification and gives an outline of the progress made in this field. A summary of the datasets and techniques utilised to evoke human emotions and various emotion models is also given. We discuss several EEG feature extractions, feature selection/reduction, machine learning, and deep learning algorithms in accordance with standard emotional identification process. We provide an overview of the human brain's EEG rhythms, which are closely related to emotional states. We also go over a number of EEG-based emotion identification research and compare numerous machine learning and deep learning techniques. In conclusion, this study highlights the applications, challenges and potential areas for future research in identification and classification of human emotional states.",10.1007/s10462-023-10690-2,,,https://doi.org/10.1007/s10462-023-10690-2,https://www.semanticscholar.org/paper/b4012fa62bdcb700d4680785ad6ee6c53106b4ca,https://link.springer.com/content/pdf/10.1007/s10462-023-10690-2.pdf,Computer Science,False
2024,5,,5,148.796,citations=42; influential=8; review/survey; dataset/benchmark; modern ML method; BCI term matches=5; title BCI matches=1; open PDF metadata,a384d0dbc544bcf89b1160b9ad7b5eecb0fe995d,The largest EEG-based BCI reproducibility study for open science: the MOABB benchmark,"Sylvain Chevallier, Igor Carrara, Bruno Aristimunha, Pierre Guetschel, Sara Sedlar, Bruna J. Lopes, et al.",arXiv.org,2024-04-03,42,8,Motor Imagery and Movement Decoding,"Objective. This study conduct an extensive Brain-computer interfaces (BCI) reproducibility analysis on open electroencephalography datasets, aiming to assess existing solutions and establish open and reproducible benchmarks for effective comparison within the field. The need for such benchmark lies in the rapid industrial progress that has given rise to undisclosed proprietary solutions. Furthermore, the scientific literature is dense, often featuring challenging-to-reproduce evaluations, making comparisons between existing approaches arduous. Approach. Within an open framework, 30 machine learning pipelines (separated into raw signal: 11, Riemannian: 13, deep learning: 6) are meticulously re-implemented and evaluated across 36 publicly available datasets, including motor imagery (14), P300 (15), and SSVEP (7). The analysis incorporates statistical meta-analysis techniques for results assessment, encompassing execution time and environmental impact considerations. Main results. The study yields principled and robust results applicable to various BCI paradigms, emphasizing motor imagery, P300, and SSVEP. Notably, Riemannian approaches utilizing spatial covariance matrices exhibit superior performance, underscoring the necessity for significant data volumes to achieve competitive outcomes with deep learning techniques. The comprehensive results are openly accessible, paving the way for future research to further enhance reproducibility in the BCI domain. Significance. The significance of this study lies in its contribution to establishing a rigorous and transparent benchmark for BCI research, offering insights into optimal methodologies and highlighting the importance of reproducibility in driving advancements within the field.",10.48550/arXiv.2404.15319,2404.15319,,https://doi.org/10.48550/arXiv.2404.15319,https://www.semanticscholar.org/paper/a384d0dbc544bcf89b1160b9ad7b5eecb0fe995d,,Biology; Computer Science; Engineering; Medicine,False
2024,6,,6,144.506,citations=91; influential=6; modern ML method; BCI term matches=2; title BCI matches=1; open PDF metadata,19e910105941ebf0fd96f2baa7555617e687f683,EEG-Deformer: A Dense Convolutional Transformer for Brain-Computer Interfaces,"Yi Ding, Yong Li, Hao Sun, Rui Liu, Chengxuan Tong, Chenyu Liu, et al.",IEEE journal of biomedical and health informatics,2024-04-25,91,6,Deep Learning and Representation Learning,"Effectively learning the temporal dynamics in electroencephalogram (EEG) signals is challenging yet essential for decoding brain activities using brain-computer interfaces (BCIs). Although Transformers are popular for their long-term sequential learning ability in the BCI field, most methods combining Transformers with convolutional neural networks (CNNs) fail to capture the coarse-to-fine temporal dynamics of EEG signals. To overcome this limitation, we introduce EEG-Deformer, which incorporates two main novel components into a CNN-Transformer: (1) a Hierarchical Coarse-to-Fine Transformer (HCT) block that integrates a Fine-grained Temporal Learning (FTL) branch into Transformers, effectively discerning coarse-to-fine temporal patterns; and (2) a Dense Information Purification (DIP) module, which utilizes multi-level, purified temporal information to enhance decoding accuracy. Comprehensive experiments on three representative cognitive tasksâcognitive attention, driving fatigue, and mental workload detectionâconsistently confirm the generalizability of our proposed EEG-Deformer, demonstrating that it either outperforms or performs comparably to existing state-of-the-art methods. Visualization results show that EEG-Deformer learns from neurophysiologically meaningful brain regions for the corresponding cognitive tasks.",10.1109/JBHI.2024.3504604,2405.00719,40030277,https://doi.org/10.1109/JBHI.2024.3504604,https://www.semanticscholar.org/paper/19e910105941ebf0fd96f2baa7555617e687f683,https://doi.org/10.1109/jbhi.2024.3504604,Biology; Computer Science; Engineering; Medicine,False
2024,7,,7,143.924,citations=65; influential=5; dataset/benchmark; clinical/rehab relevance; BCI term matches=3; title BCI matches=2; open PDF metadata,64495c55f8c12dc456f19d91a26df8c932cac98f,An EEG motor imagery dataset for brain computer interface in acute stroke patients,"Haijie Liu, Penghu Wei, Haochong Wang, Xiaodong Lv, Wei Duan, Meijie Li, et al.",Scientific Data,2024-01-25,65,5,Motor Imagery and Movement Decoding,"The brain-computer interface (BCI) is a technology that involves direct communication with parts of the brain and has evolved rapidly in recent years; it has begun to be used in clinical practice, such as for patient rehabilitation. Patient electroencephalography (EEG) datasets are critical for algorithm optimization and clinical applications of BCIs but are rare at present. We collected data from 50 acute stroke patients with wireless portable saline EEG devices during the performance of two tasks: 1) imagining right-handed movements and 2) imagining left-handed movements. The dataset consists of four types of data: 1) the motor imagery instructions, 2) raw recording data, 3) pre-processed data after removing artefacts and other manipulations, and 4) patient characteristics. This is the first open dataset to address left- and right-handed motor imagery in acute stroke patients. We believe that the dataset will be very helpful for analysing brain activation and designing decoding methods that are more applicable for acute stroke patients, which will greatly facilitate research in the field of motor imagery-BCI.",10.1038/s41597-023-02787-8,,38272904,https://doi.org/10.1038/s41597-023-02787-8,https://www.semanticscholar.org/paper/64495c55f8c12dc456f19d91a26df8c932cac98f,https://www.nature.com/articles/s41597-023-02787-8.pdf,Engineering; Medicine,False
2024,8,,8,131.529,citations=59; influential=3; dataset/benchmark; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,8356a60d42706bd9fea53c379e475a66624753ed,Attention-based convolutional neural network with multi-modal temporal information fusion for motor imagery EEG decoding,"Xinzhi Ma, Weihai Chen, Zhongcai Pei, Yue Zhang, Jianer Chen",Comput. Biol. Medicine,2024-04-01,59,3,Motor Imagery and Movement Decoding,"Convolutional neural network (CNN) has been widely applied in motor imagery (MI)-based brain computer interface (BCI) to decode electroencephalography (EEG) signals. However, due to the limited perceptual field of convolutional kernel, CNN only extracts features from local region without considering long-term dependencies for EEG decoding. Apart from long-term dependencies, multi-modal temporal information is equally important for EEG decoding because it can offer a more comprehensive understanding of the temporal dynamics of neural processes. In this paper, we propose a novel deep learning network that combines CNN with self-attention mechanism to encapsulate multi-modal temporal information and global dependencies. The network first extracts multi-modal temporal information from two distinct perspectives: average and variance. A shared self-attention module is then designed to capture global dependencies along these two feature dimensions. We further design a convolutional encoder to explore the relationship between average-pooled and variance-pooled features and fuse them into more discriminative features. Moreover, a data augmentation method called signal segmentation and recombination is proposed to improve the generalization capability of the proposed network. The experimental results on the BCI Competition IV-2a (BCIC-IV-2a) and BCI Competition IV-2b (BCIC-IV-2b) datasets show that our proposed method outperforms the state-of-the-art methods and achieves 4-class average accuracy of 85.03% on the BCIC-IV-2a dataset. The proposed method implies the effectiveness of multi-modal temporal information fusion in attention-based deep learning networks and provides a new perspective for MI-EEG decoding. The code is available at https://github.com/Ma-Xinzhi/EEG-TransNet.",10.1016/j.compbiomed.2024.108504,,38701593,https://doi.org/10.1016/j.compbiomed.2024.108504,https://www.semanticscholar.org/paper/8356a60d42706bd9fea53c379e475a66624753ed,,Computer Science; Medicine,False
2024,9,,9,131.505,citations=45; influential=2; recognized venue; dataset/benchmark; clinical/rehab relevance; BCI term matches=3; title BCI matches=1; open PDF metadata,2eac23cb532ab7a0dc45ba59e8103c5c6da7a82c,M-FANet: Multi-Feature Attention Convolutional Neural Network for Motor Imagery Decoding,"Yiyang Qin, Banghua Yang, Sixiong Ke, Peng Liu, Fenqi Rong, Xinxing Xia",IEEE transactions on neural systems and rehabilitation engineering,2024-01-09,45,2,Motor Imagery and Movement Decoding,"Motor imagery (MI) decoding methods are pivotal in advancing rehabilitation and motor control research. Effective extraction of spectral-spatial-temporal features is crucial for MI decoding from limited and low signal-to-noise ratio electroencephalogram (EEG) signal samples based on brain-computer interface (BCI). In this paper, we propose a lightweight Multi-Feature Attention Neural Network (M-FANet) for feature extraction and selection of multi-feature data. M-FANet employs several unique attention modules to eliminate redundant information in the frequency domain, enhance local spatial feature extraction and calibrate feature maps. We introduce a training method called Regularized Dropout (R-Drop) to address training-inference inconsistency caused by dropout and improve the model’s generalization capability. We conduct extensive experiments on the BCI Competition IV 2a (BCIC-IV-2a) dataset and the 2019 World robot conference contest-BCI Robot Contest MI (WBCIC-MI) dataset. M-FANet achieves superior performance compared to state-of-the-art MI decoding methods, with 79.28% 4-class classification accuracy (kappa: 0.7259) on the BCIC-IV-2a dataset and 77.86% 3-class classification accuracy (kappa: 0.6650) on the WBCIC-MI dataset. The application of multi-feature attention modules and R-Drop in our lightweight model significantly enhances its performance, validated through comprehensive ablation experiments and visualizations.",10.1109/TNSRE.2024.3351863,,38194394,https://doi.org/10.1109/TNSRE.2024.3351863,https://www.semanticscholar.org/paper/2eac23cb532ab7a0dc45ba59e8103c5c6da7a82c,https://ieeexplore.ieee.org/ielx7/7333/4359219/10385159.pdf,Computer Science; Medicine,False
2024,10,,10,130.807,citations=35; influential=4; recognized venue; review/survey; BCI term matches=2; title BCI matches=1; open PDF metadata,d51072b74302293dc43361d3e3689939adc2a0b8,"Comprehensive evaluation methods for translating BCI into practical applications: usability, user satisfaction and usage of online BCI systems","He Pan, Peng Ding, Fan Wang, Tianwen Li, Lei Zhao, Wenya Nan, et al.",Frontiers in Human Neuroscience,2024-06-05,35,4,EEG Signal Processing and Datasets,"Although brain-computer interface (BCI) is considered a revolutionary advancement in human-computer interaction and has achieved significant progress, a considerable gap remains between the current technological capabilities and their practical applications. To promote the translation of BCI into practical applications, the gold standard for online evaluation for classification algorithms of BCI has been proposed in some studies. However, few studies have proposed a more comprehensive evaluation method for the entire online BCI system, and it has not yet received sufficient attention from the BCI research and development community. Therefore, the qualitative leap from analyzing and modeling for offline BCI data to the construction of online BCI systems and optimizing their performance is elaborated, and then user-centred is emphasized, and then the comprehensive evaluation methods for translating BCI into practical applications are detailed and reviewed in the article, including the evaluation of the usability (including effectiveness and efficiency of systems), the evaluation of the user satisfaction (including BCI-related aspects, etc.), and the evaluation of the usage (including the match between the system and user, etc.) of online BCI systems. Finally, the challenges faced in the evaluation of the usability and user satisfaction of online BCI systems, the efficacy of online BCI systems, and the integration of BCI and artificial intelligence (AI) and/or virtual reality (VR) and other technologies to enhance the intelligence and user experience of the system are discussed. It is expected that the evaluation methods for online BCI systems elaborated in this review will promote the translation of BCI into practical applications.",10.3389/fnhum.2024.1429130,,38903409,https://doi.org/10.3389/fnhum.2024.1429130,https://www.semanticscholar.org/paper/d51072b74302293dc43361d3e3689939adc2a0b8,https://www.frontiersin.org/articles/10.3389/fnhum.2024.1429130/pdf?isPublishedV2=False,Computer Science; Engineering; Medicine,False
