category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,researchTrend,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
Deep Learning and Representation Learning,1,2020,EEG-Based Brain-Computer Interfaces (BCIs): A Survey of Recent Studies on Signal Sensing Technologies and Computational Intelligence Approaches and Their Applications,"Xiaotong Gu, Zehong Cao, A. Jolfaei, Peng Xu, Dongrui Wu, T. Jung, et al.",IEEE/ACM Transactions on Computational Biology & Bioinformatics,2020-01-28,322,11,188.837,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",review; deep learning,Brain-Computer interfaces (BCIs) enhance the capability of human brain activities to interact with the environment.,high citation signal (322); influential citation signal (11); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TCBB.2021.3052811,https://www.semanticscholar.org/paper/da05b15fe56532cd929598c7593f48a733e057a1,https://doi.org/10.1109/tcbb.2021.3052811,10.1109/TCBB.2021.3052811,2001.11337,33465029,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,2,2019,A novel multi-modal machine learning based approach for automatic classification of EEG recordings in dementia,"C. Ieracitano, N. Mammone, A. Hussain, F. Morabito",Neural Networks,2019-12-14,283,17,204.304,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; clinical/rehab; deep learning,Electroencephalographic (EEG) recordings generate an electrical map of the human brain that are useful for clinical inspection of patients and in biomedical smart Internet-of-Things (IoT) and Brain-Computer Interface (BCI) applications.,high citation signal (283); influential citation signal (17); recognized venue,PDF link not available from metadata,https://doi.org/10.1016/j.neunet.2019.12.006,https://www.semanticscholar.org/paper/d1fca6e80e75a94ef3cd675077068c77fd657ae9,,10.1016/j.neunet.2019.12.006,,31884180,Computer Science; Medicine
Deep Learning and Representation Learning,3,2021,Transformer-based Spatial-Temporal Feature Learning for EEG Decoding,"Yonghao Song, Xueyu Jia, Lie Yang, Longhan Xie",arXiv.org,2021-06-11,219,22,183.099,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,"At present, people usually use some methods based on convolutional neural networks (CNNs) for Electroencephalograph (EEG) decoding.",high citation signal (219); influential citation signal (22),PDF link not available from metadata,https://arxiv.org/abs/2106.11170,https://www.semanticscholar.org/paper/d1b30dcc00f3021c42080ce998b3148890d92010,,,2106.11170,,Computer Science; Engineering
Deep Learning and Representation Learning,4,2019,Epilepsy Detection by Using Scalogram Based Convolutional Neural Network from EEG Signals,"Ömer Türk, M. S. Özerdem",Brain Science,2019-05-01,183,17,184.755,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,The studies implemented with Electroencephalogram (EEG) signals are progressing very rapidly and brain computer interfaces (BCI) and disease determinations are carried out at certain success rates thanks to new methods developed in this field.,high citation signal (183); influential citation signal (17); recognized venue,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/brainsci9050115,https://www.semanticscholar.org/paper/eda768b0b2546e4123a19582113b38cdd7c84f08,https://www.mdpi.com/2076-3425/9/5/115/pdf?version=1559036035,10.3390/brainsci9050115,,31109020,Computer Science; Medicine
Deep Learning and Representation Learning,5,2024,EEGPT: Pretrained Transformer for Universal and Reliable Representation of EEG Signals,"Guangyu Wang, Wenchao Liu, Yuhong He, Cong Xu, Lin Ma, Haifeng Li",Neural Information Processing Systems,,174,30,188.437,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning,"Electroencephalography (EEG) is crucial for recording brain activity, with applications in medicine, neuroscience, and brain-computer interfaces (BCI).",high citation signal (174); influential citation signal (30),PDF link not available from metadata,https://doi.org/10.52202/079017-1239,https://www.semanticscholar.org/paper/f1197215be4a6baa2c63aeff8e9f4ea9f85e3e56,,10.52202/079017-1239,,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,6,2015,Deep Extreme Learning Machine and Its Application in EEG Classification,"Shifei Ding, Nan Zhang, Xinzheng Xu, Lili Guo, Jian Zhang",,2015-05-27,169,7,163.418,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning,"Recently, deep learning has aroused wide interest in machine learning fields.",high citation signal (169); open-access PDF metadata,venue missing in metadata,https://doi.org/10.1155/2015/129021,https://www.semanticscholar.org/paper/e2208a581439145f0709206ccfb0b763bbf05b55,https://downloads.hindawi.com/journals/mpe/2015/129021.pdf,10.1155/2015/129021,,,Computer Science; Medicine
Deep Learning and Representation Learning,7,2019,Manifold Embedded Knowledge Transfer for Brain-Computer Interfaces,"Wen Zhang, Dongrui Wu",IEEE transactions on neural systems and rehabilitation engineering,2019-10-14,167,25,191.373,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,"Transfer learning makes use of data or knowledge in one problem to help solve a different, yet related, problem.",high citation signal (167); influential citation signal (25); recognized venue,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNSRE.2020.2985996,https://www.semanticscholar.org/paper/3180a7b8f8109f3fcc30e2fc514235c753faea26,https://arxiv.org/pdf/1910.05878,10.1109/TNSRE.2020.2985996,1910.05878,32286993,Computer Science; Medicine
Deep Learning and Representation Learning,8,2022,Adaptive transfer learning-based multiscale feature fused deep convolutional neural network for EEG MI multiclassification in brain-computer interface,Anisha Roy,Engineering applications of artificial intelligence,2022-11-01,158,2,135.791,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",closed-loop,Positions Adaptive transfer learning-based multiscale feature fused deep convolutional neural network for EEG MI multiclassification in brain-computer interface within Deep Learning and Representation Learning.,high citation signal (158),abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.engappai.2022.105347,https://www.semanticscholar.org/paper/ddabc0d6b7cdaf7298d1b7c4bdccc0ed44a82020,,10.1016/j.engappai.2022.105347,,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,9,2017,Optimized Deep Learning for EEG Big Data and Seizure Prediction BCI via Internet of Things,"M. Hosseini, D. Pompili, K. Elisevich, H. Soltanian-Zadeh",IEEE Transactions on Big Data,2017-12-01,151,3,153.979,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Positions Optimized Deep Learning for EEG Big Data and Seizure Prediction BCI via Internet of Things within Deep Learning and Representation Learning.,high citation signal (151); recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/TBDATA.2017.2769670,https://www.semanticscholar.org/paper/03a0e8563f1a65c7fdc68d21ddc4aaced677de41,,10.1109/TBDATA.2017.2769670,,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,10,2020,Cross-Dataset Variability Problem in EEG Decoding With Deep Learning,"Lichao Xu, Minpeng Xu, Yufeng Ke, X. An, Shuang Liu, Dong Ming",Frontiers in Human Neuroscience,2020-04-21,129,6,165.112,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning,Cross-subject variability problems hinder practical usages of Brain-Computer Interfaces.,high citation signal (129); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnhum.2020.00103,https://www.semanticscholar.org/paper/6adf29e33f63d29a8f36c44454948e9935ae275f,https://fjfsdata01prod.blob.core.windows.net/articles/files/518622/pubmed-zip/.versions/3/.package-entries/fnhum-14-00103-r2/fnhum-14-00103.pdf?sv=2018-03-28&sr=b&sig=MV6dgaE6NQlwvZRBn2QK3IN6QOmHcKsEKhz4xxvOfp4%3D&se=2021-02-22T20%3A21%3A53Z&sp=r&rscd=attachment%3B%20filename%2A%3DUTF-8%27%27fnhum-14-00103.pdf,10.3389/fnhum.2020.00103,,32372929,Computer Science; Medicine
