category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
Deep Learning and Representation Learning,1,2020,EEG-Based Brain-Computer Interfaces (BCIs): A Survey of Recent Studies on Signal Sensing Technologies and Computational Intelligence Approaches and Their Applications,"Xiaotong Gu, Zehong Cao, A. Jolfaei, Peng Xu, Dongrui Wu, T. Jung, et al.",IEEE/ACM Transactions on Computational Biology & Bioinformatics,2020-01-28,322,11,188.837,review; deep learning,Brain-Computer interfaces (BCIs) enhance the capability of human brain activities to interact with the environment.,high citation signal (322); influential citation signal (11); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TCBB.2021.3052811,https://www.semanticscholar.org/paper/da05b15fe56532cd929598c7593f48a733e057a1,https://doi.org/10.1109/tcbb.2021.3052811,10.1109/TCBB.2021.3052811,2001.11337,33465029,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,2,2020,Multi-Scale Neural Network for EEG Representation Learning in BCI,"Wonjun Ko, Eunjin Jeon, Seungwoo Jeong, Heung-Il Suk",IEEE Computational Intelligence Magazine,2020-03-02,102,7,149.394,deep learning,Recent advances in deep learning have had a methodological and practical impact on brain-computer interface (BCI) research.,high citation signal (102); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/MCI.2021.3061875,https://www.semanticscholar.org/paper/0483c3ed0a6862730b5149397d892e35397f09ee,http://arxiv.org/pdf/2003.02657,10.1109/MCI.2021.3061875,2003.02657,,Computer Science; Engineering; Mathematics; Medicine
Deep Learning and Representation Learning,3,2024,EEG-Deformer: A Dense Convolutional Transformer for Brain-Computer Interfaces,"Yi Ding, Yong Li, Hao Sun, Rui Liu, Chengxuan Tong, Chenyu Liu, et al.",IEEE journal of biomedical and health informatics,2024-04-25,91,6,144.506,deep learning,Effectively learning the temporal dynamics in electroencephalogram (EEG) signals is challenging yet essential for decoding brain activities using brain-computer interfaces (BCIs).,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/JBHI.2024.3504604,https://www.semanticscholar.org/paper/19e910105941ebf0fd96f2baa7555617e687f683,https://doi.org/10.1109/jbhi.2024.3504604,10.1109/JBHI.2024.3504604,2405.00719,40030277,Biology; Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,4,2022,Adaptive transfer learning-based multiscale feature fused deep convolutional neural network for EEG MI multiclassification in brain-computer interface,Anisha Roy,Engineering applications of artificial intelligence,2022-11-01,158,2,135.791,closed-loop,Positions Adaptive transfer learning-based multiscale feature fused deep convolutional neural network for EEG MI multiclassification in brain-computer interface within Deep Learning and Representation Learning.,high citation signal (158),abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.engappai.2022.105347,https://www.semanticscholar.org/paper/ddabc0d6b7cdaf7298d1b7c4bdccc0ed44a82020,,10.1016/j.engappai.2022.105347,,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,5,2022,Denoising EEG Signals for Real-World BCI Applications Using GANs,"Eoin Brophy, P. Redmond, Andrew Fleury, M. de Vos, G. Boylan, Tomás Ward",Frontiers in Neuroergonomics,2022-01-13,52,2,120.621,dataset/benchmark; deep learning; communication,"As a measure of the brain's electrical activity, electroencephalography (EEG) is the primary signal of interest for brain-computer-interfaces (BCI).",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnrgo.2021.805573,https://www.semanticscholar.org/paper/b21bc436089f879558fc823ba04b9044e60193d4,https://www.frontiersin.org/articles/10.3389/fnrgo.2021.805573/pdf,10.3389/fnrgo.2021.805573,,38235245,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,6,2022,Retrospective on the First Passive Brain-Computer Interface Competition on Cross-Session Workload Estimation,"R. Roy, Marcel F. Hinss, L. Darmet, S. Ladouce, E. Jahanpour, B. Somon, et al.",Frontiers in Neuroergonomics,2022-04-04,36,3,119.393,dataset/benchmark; deep learning,"As is the case in several research domains, data sharing is still scarce in the field of Brain-Computer Interfaces (BCI), and particularly in that of passive BCIs—i.e., systems that enable implicit interaction or task adaptation based on a user's mental state(s) estimated from brain measures.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnrgo.2022.838342,https://www.semanticscholar.org/paper/6961a7e186558091e087479b50af7e23cc7d6215,https://www.frontiersin.org/articles/10.3389/fnrgo.2022.838342/pdf,10.3389/fnrgo.2022.838342,,38235453,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,7,2024,Transfer learning promotes acquisition of individual BCI skills,"Satyam Kumar, Hussein Alawieh, F. S. Racz, R. Fakhreddine, J. D. R. Millán",PNAS Nexus,2024-02-01,39,2,109.43,deep learning,Abstract Subject training is crucial for acquiring brain–computer interface (BCI) control.,selected from the top-scored BCI candidate pool,PDF link not available from metadata,https://doi.org/10.1093/pnasnexus/pgae076,https://www.semanticscholar.org/paper/b2ef35bf3af22b17d3d45f85812662d606713f3d,,10.1093/pnasnexus/pgae076,,38426121,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,8,2025,Multimodal Brain-Computer Interfaces: AI-powered Decoding Methodologies,"Siyang Li, Hongbin Wang, Xiaoqing Chen, Dongrui Wu",arXiv.org,2025-02-05,15,0,73.997,review; communication,Brain-computer interfaces (BCIs) enable direct communication between the brain and external devices.,selected from the top-scored BCI candidate pool,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.48550/arXiv.2502.02830,https://www.semanticscholar.org/paper/97bbf0ff2aae320606e527df311af3c12b716c70,,10.48550/arXiv.2502.02830,2502.02830,,Biology; Computer Science
Deep Learning and Representation Learning,9,2025,Augmenting brain-computer interfaces with ART: An artifact removal transformer for reconstructing multichannel EEG signals,"Chun-Hsiang Chuang, Kong-Yi Chang, Chih-Sheng Huang, Anne-Mei Bessas",NeuroImage,2025-03-01,8,0,73.339,dataset/benchmark; deep learning,Artifact removal in electroencephalography (EEG) is a longstanding challenge that significantly impacts neuroscientific analysis and brain-computer interface (BCI) performance.,recognized venue,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.1016/j.neuroimage.2025.121123,https://www.semanticscholar.org/paper/7ecb75fed21fee8a6719a359e13cbeff1556f99f,,10.1016/j.neuroimage.2025.121123,,40057290,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,10,2026,Neural Decoding for EEG-BCI: From Conventional Machine Learning to Deep Learning Models,"Yibo Ding, Xinyu Ma, Ping Zhang, Yingxin Tang, Zhixian Zhao, Danyang Chen, et al.",Brain Hemorrhages,2026-01-01,2,0,46.169,deep learning,Positions Neural Decoding for EEG-BCI: From Conventional Machine Learning to Deep Learning Models within Deep Learning and Representation Learning.,recognized venue,abstract unavailable in metadata; recent work may be under-cited; limited citation history,https://doi.org/10.1016/j.hest.2026.01.002,https://www.semanticscholar.org/paper/6da1892ea7002b61f33f5855fb9d162203be71dc,,10.1016/j.hest.2026.01.002,,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,11,2026,Advancing brain-computer interfaces with generative AI: A review of state-of-the-art and future outlook,"Su Han, Shanshan Feng, Fan Li",The Innovation Life,,1,1,40.726,review; closed-loop,Brain-Computer Interface (BCI) technology is rapidly emerging as a promising tool to empower individuals with severe disabilities and enhance their independence by translating brain neural signals into actionable commands.,selected from the top-scored BCI candidate pool,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.59717/j.xinn-life.2026.100198,https://www.semanticscholar.org/paper/00550fb9fc74eb1e5fb58033168951f1d4156a1e,,10.59717/j.xinn-life.2026.100198,,,Computer Science; Engineering
Deep Learning and Representation Learning,12,2026,Alternatives to Sine Carrier in Auditory BCI: Exploring Machine Learning Strategies for Assessing Modulation Detectability in EEG,"Lenaïg Guého, Henrique Lefundes da Silva, Cyril Plapous, L. Bougrain, Patrick Hénaff, Rozenn Nicol",IEEE Open Journal of Signal Processing,,2,0,34.169,deep learning,"In this paper, the use of non-sinusoidal amplitude-modulated stimuli is assessed for Brain-Computer Interfaces (BCIs) based on Steady-State Auditory Evoked Potentials (SSAEPs).",selected from the top-scored BCI candidate pool,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.1109/OJSP.2026.3664271,https://www.semanticscholar.org/paper/71ea0412d4c64cd446819475586b43f2b4adf28d,,10.1109/OJSP.2026.3664271,,,Computer Science; Engineering
EEG Signal Processing and Datasets,1,2020,"Current Status, Challenges, and Possible Solutions of EEG-Based Brain-Computer Interface: A Comprehensive Review","M. Rashid, N. Sulaiman, A. P. Majeed, R. Musa, A. Nasir, Bifta Sama Bari, et al.",Frontiers in Neurorobotics,2020-06-03,420,18,208.938,review,"Brain-Computer Interface (BCI), in essence, aims at controlling different assistive devices through the utilization of brain waves.",high citation signal (420); influential citation signal (18); recognized venue,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnbot.2020.00025,https://www.semanticscholar.org/paper/ed57cb2e56c4aef06279f2edf2525ab05ccb10d7,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00025/pdf,10.3389/fnbot.2020.00025,,32581758,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,2,2020,Neural Decoding of Imagined Speech and Visual Imagery as Intuitive Paradigms for BCI Communication,"Seo-Hyun Lee, Minji Lee, Seong-Whan Lee",IEEE transactions on neural systems and rehabilitation engineering,2020-11-24,133,10,170.415,communication,Brain-computer interface (BCI) is oriented toward intuitive systems that users can easily operate.,high citation signal (133); influential citation signal (10); recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TNSRE.2020.3040289,https://www.semanticscholar.org/paper/e51f9e1e58e63ea600246a36fbbb3569b1be5d9e,,10.1109/TNSRE.2020.3040289,,33232243,Computer Science; Medicine
EEG Signal Processing and Datasets,3,2022,Review of Machine Learning Techniques for EEG Based Brain Computer Interface,"Swati Aggarwal, Nupur Chugh",Archives of Computational Methods in Engineering,2022-01-07,233,7,168.947,review,Positions Review of Machine Learning Techniques for EEG Based Brain Computer Interface within EEG Signal Processing and Datasets.,high citation signal (233),abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1007/s11831-021-09684-6,https://www.semanticscholar.org/paper/333bfe5956a62b14a35fca0f5dc1a2e8220d4b15,,10.1007/s11831-021-09684-6,,,Computer Science; Medicine
